"","Year","Product","total_export_percentage","product_percentage_of_total"
"1",2000,"Cotton",145.455088783473,2.85206056438183
"2",2000,"Fruits & Nuts",339.642483609112,6.65965654135513
"3",2000,"Grains & Feed",1073.15016959928,21.0421601882211
"4",2000,"Meat & Animal Products",1120.17743934671,21.9642635166021
"5",2000,"Non-commodity crops",1240.29255891183,24.3194619394476
"6",2000,"Oilseeds",555.295181789027,10.8881408193927
"7",2000,"Poultry & Eggs",290.155239194336,5.68931841557521
"8",2000,"Vegetables",335.831838766241,6.58493801502434
"9",2001,"Cotton",165.858984617462,3.25213695328356
"10",2001,"Fruits & Nuts",319.515781442978,6.26501532241134
"11",2001,"Grains & Feed",1056.11105217383,20.7080598465456
"12",2001,"Meat & Animal Products",1150.21979718325,22.5533293565344
"13",2001,"Non-commodity crops",1194.64296817481,23.4243719249963
"14",2001,"Oilseeds",574.173177239718,11.2582975929356
"15",2001,"Poultry & Eggs",323.200625107095,6.33726715896265
"16",2001,"Vegetables",316.277614060853,6.20152184433045
"17",2002,"Cotton",158.405593945201,3.1059920381412
"18",2002,"Fruits & Nuts",327.19410513899,6.41557068899981
"19",2002,"Grains & Feed",1071.26508835571,21.0051978108963
"20",2002,"Meat & Animal Products",1112.06694167115,21.8052341504147
"21",2002,"Non-commodity crops",1224.24101012156,24.004725688658
"22",2002,"Oilseeds",599.364816128717,11.7522512966415
"23",2002,"Poultry & Eggs",287.468956533501,5.63664620653924
"24",2002,"Vegetables",319.993488105173,6.27438211970928
"25",2003,"Cotton",235.325494619316,4.61422538469247
"26",2003,"Fruits & Nuts",353.553372900636,6.93241907648305
"27",2003,"Grains & Feed",1010.15063418461,19.8068751800904
"28",2003,"Meat & Animal Products",1083.42409078469,21.2436096232292
"29",2003,"Non-commodity crops",1196.31736553353,23.4572032457556
"30",2003,"Oilseeds",646.826900320046,12.6828803984323
"31",2003,"Poultry & Eggs",282.985423235924,5.54873378893969
"32",2003,"Vegetables",291.416718421246,5.71405330237737
"33",2004,"Cotton",264.00207097543,5.17651119559667
"34",2004,"Fruits & Nuts",364.297120346933,7.14308079111632
"35",2004,"Grains & Feed",1210.19272088109,23.7292690368841
"36",2004,"Meat & Animal Products",871.873825182572,17.0955651996583
"37",2004,"Non-commodity crops",1187.28634638797,23.2801244389798
"38",2004,"Oilseeds",593.121370345949,11.629830791097
"39",2004,"Poultry & Eggs",298.655317600137,5.85598661961053
"40",2004,"Vegetables",310.57122827992,6.08963192705726
"41",2005,"Cotton",247.555341825706,4.85402631030797
"42",2005,"Fruits & Nuts",374.617077381414,7.34543288983165
"43",2005,"Grains & Feed",1114.50805207546,21.8530990603031
"44",2005,"Meat & Animal Products",933.909783721785,18.3119565435644
"45",2005,"Non-commodity crops",1176.23311644305,23.0633944400598
"46",2005,"Oilseeds",569.323156171918,11.1631991406258
"47",2005,"Poultry & Eggs",360.026076301325,7.05933482943775
"48",2005,"Vegetables",323.827396079342,6.34955678586945
"49",2006,"Cotton",261.842370914845,5.13416413558519
"50",2006,"Fruits & Nuts",393.32963314315,7.7123457479049
"51",2006,"Grains & Feed",1113.61631891321,21.8356140963375
"52",2006,"Meat & Animal Products",967.544129751678,18.9714535245427
"53",2006,"Non-commodity crops",1170.47330127392,22.9504568877238
"54",2006,"Oilseeds",558.146200396604,10.9440431450315
"55",2006,"Poultry & Eggs",320.086711479702,6.27621002901376
"56",2006,"Vegetables",314.961334126891,6.1757124338606
"57",2007,"Cotton",225.026997011685,4.41229405905266
"58",2007,"Fruits & Nuts",369.893707894968,7.25281780186211
"59",2007,"Grains & Feed",1227.90375718067,24.0765442584445
"60",2007,"Meat & Animal Products",982.480238700468,19.2643184058915
"61",2007,"Non-commodity crops",1083.18534731094,21.238928378646
"62",2007,"Oilseeds",571.975843052439,11.2152126088714
"63",2007,"Poultry & Eggs",358.039399438856,7.02038038115404
"64",2007,"Vegetables",281.494709409969,5.51950410607783
"65",2008,"Cotton",166.180221760027,3.25843572078483
"66",2008,"Fruits & Nuts",333.901855459255,6.54709520508343
"67",2008,"Grains & Feed",1237.87836823401,24.2721248673335
"68",2008,"Meat & Animal Products",926.062890093347,18.1580958841833
"69",2008,"Non-commodity crops",1152.61074720728,22.6002107295545
"70",2008,"Oilseeds",666.50587217322,13.0687425916318
"71",2008,"Poultry & Eggs",351.860315962174,6.89922188161126
"72",2008,"Vegetables",264.99972911069,5.19607311981745
"73",2009,"Cotton",145.504496923444,2.85302935144007
"74",2009,"Fruits & Nuts",341.368584444906,6.69350165578247
"75",2009,"Grains & Feed",1003.45453495418,19.6755791167487
"76",2009,"Meat & Animal Products",875.17394235354,17.1602733794812
"77",2009,"Non-commodity crops",1250.66822756649,24.5229064228724
"78",2009,"Oilseeds",819.8575372611,16.0756379855118
"79",2009,"Poultry & Eggs",369.186079414929,7.23894273362605
"80",2009,"Vegetables",294.786597081409,5.78012935453743
"81",2010,"Cotton",219.009814788023,4.2943100938828
"82",2010,"Fruits & Nuts",332.441658788027,6.51846389780446
"83",2010,"Grains & Feed",983.585202610035,19.2859843649026
"84",2010,"Meat & Animal Products",986.330872963512,19.3398210385002
"85",2010,"Non-commodity crops",1177.30169975024,23.0843470539262
"86",2010,"Oilseeds",799.852476051217,15.6833818833572
"87",2010,"Poultry & Eggs",328.343006154815,6.43809815989834
"88",2010,"Vegetables",273.135268894133,5.3555935077281
"89",2011,"Cotton",279.423135733266,5.47888501437777
"90",2011,"Fruits & Nuts",330.312588219809,6.47671741607468
"91",2011,"Grains & Feed",1094.86901970518,21.4680199942191
"92",2011,"Meat & Animal Products",1033.91979612938,20.2729371790075
"93",2011,"Non-commodity crops",1131.29748278152,22.1823035839513
"94",2011,"Oilseeds",651.745336899912,12.7793203313708
"95",2011,"Poultry & Eggs",327.296310654066,6.41757471870717
"96",2011,"Vegetables",251.136329876874,4.92424176229164
"97",2012,"Cotton",216.762257625756,4.25024034560307
"98",2012,"Fruits & Nuts",312.092181269066,6.11945453468757
"99",2012,"Grains & Feed",921.047438207032,18.059753690334
"100",2012,"Meat & Animal Products",1044.04793298249,20.471528097696
"101",2012,"Non-commodity crops",1167.14043956431,22.8851066581238
"102",2012,"Oilseeds",862.489561965379,16.9115600385369
"103",2012,"Poultry & Eggs",341.642717721816,6.69887681807483
"104",2012,"Vegetables",234.777470664142,4.60347981694395
"105",2013,"Cotton",180.927352710911,3.54759515119434
"106",2013,"Fruits & Nuts",313.909744086035,6.1550930212948
"107",2013,"Grains & Feed",988.757835008195,19.3874085295724
"108",2013,"Meat & Animal Products",1115.0051531888,21.8628461409568
"109",2013,"Non-commodity crops",1090.20992890195,21.3766652725872
"110",2013,"Oilseeds",832.03559436169,16.3144234188567
"111",2013,"Poultry & Eggs",343.578834118455,6.73683988467559
"112",2013,"Vegetables",235.57555762397,4.61912858086216
"113",2014,"Cotton",142.459815000635,2.79332970589481
"114",2014,"Fruits & Nuts",304.396424382964,5.96855734084244
"115",2014,"Grains & Feed",996.643816391466,19.5420356155189
"116",2014,"Meat & Animal Products",1126.36109138049,22.0855115956959
"117",2014,"Non-commodity crops",1133.0695457853,22.2170499173588
"118",2014,"Oilseeds",831.829015916366,16.3103728611052
"119",2014,"Poultry & Eggs",340.567471375118,6.67779355637487
"120",2014,"Vegetables",224.672819767662,4.40534940720905
"121",2015,"Cotton",143.41956599119,2.81214835276843
"122",2015,"Fruits & Nuts",335.253518884515,6.5735984095003
"123",2015,"Grains & Feed",975.039427291873,19.1184201429779
"124",2015,"Meat & Animal Products",1065.13175186403,20.8849363110594
"125",2015,"Non-commodity crops",1228.06366844305,24.079679773393
"126",2015,"Oilseeds",817.60727401576,16.0315151767796
"127",2015,"Poultry & Eggs",300.857935779477,5.8991752113623
"128",2015,"Vegetables",234.626857730109,4.600526622159
"129",2016,"Cotton",138.264372947864,2.71106613623263
"130",2016,"Fruits & Nuts",313.67373818428,6.15046545459372
"131",2016,"Grains & Feed",913.630490893338,17.9143233508498
"132",2016,"Meat & Animal Products",1022.05775548716,20.040348146807
"133",2016,"Non-commodity crops",1312.60974011602,25.7374458846278
"134",2016,"Oilseeds",857.638428677476,16.8164397779897
"135",2016,"Poultry & Eggs",295.269632075873,5.78960062893868
"136",2016,"Vegetables",246.855841617998,4.84031061996074
"137",2017,"Cotton",188.198702980401,3.69017064667453
"138",2017,"Fruits & Nuts",301.303414340743,5.90791008511261
"139",2017,"Grains & Feed",885.922993093038,17.3710390802557
"140",2017,"Meat & Animal Products",1107.56782276999,21.7170161327448
"141",2017,"Non-commodity crops",1268.13262878274,24.8653456624067
"142",2017,"Oilseeds",819.998839322349,16.0784086141637
"143",2017,"Poultry & Eggs",299.949573870082,5.88136419353103
"144",2017,"Vegetables",228.926024840656,4.48874558511091
"145",2018,"Cotton",224.98190007863,4.41140980546334
"146",2018,"Fruits & Nuts",247.7037907401,4.85693707333529
"147",2018,"Grains & Feed",949.12224663101,18.6102401300198
"148",2018,"Meat & Animal Products",1107.26756929638,21.7111288097329
"149",2018,"Non-commodity crops",1323.56154723076,25.9521872006031
"150",2018,"Oilseeds",722.9285326524,14.1750692676941
"151",2018,"Poultry & Eggs",297.863911507147,5.84046885308131
"152",2018,"Vegetables",226.570501863577,4.44255886007014
"153",2019,"Cotton",222.135671869755,4.35560140921088
"154",2019,"Fruits & Nuts",250.058477844515,4.90310740871599
"155",2019,"Grains & Feed",884.334920994362,17.3399004116541
"156",2019,"Meat & Animal Products",1139.20406124028,22.3373345341231
"157",2019,"Non-commodity crops",1340.17071600661,26.2778571766002
"158",2019,"Oilseeds",748.321496653596,14.6729705226195
"159",2019,"Poultry & Eggs",305.788842635032,5.99585965951042
"160",2019,"Vegetables",209.985812755855,4.11736887756577
"161",2020,"Cotton",209.786755463235,4.11346579339676
"162",2020,"Fruits & Nuts",243.652125925708,4.77749266520996
"163",2020,"Grains & Feed",907.485118142381,17.793825845929
"164",2020,"Meat & Animal Products",1130.5073384264,22.1668105573805
"165",2020,"Non-commodity crops",1271.58402337648,24.9330200662054
"166",2020,"Oilseeds",867.048740460273,17.0009556952995
"167",2020,"Poultry & Eggs",279.365350044615,5.47775196165912
"168",2020,"Vegetables",190.570548160908,3.73667741491976
"169",2021,"Cotton",169.270290480673,3.31902530354261
"170",2021,"Fruits & Nuts",243.384919702873,4.7722533275073
"171",2021,"Grains & Feed",983.634358367062,19.2869482032757
"172",2021,"Meat & Animal Products",1171.58403922043,22.9722360631458
"173",2021,"Non-commodity crops",1254.77144987125,24.6033617621814
"174",2021,"Oilseeds",792.652370290057,15.5422033390207
"175",2021,"Poultry & Eggs",295.718346553628,5.79839895203192
"176",2021,"Vegetables",188.984225514024,3.7055730492946
"177",2022,"Cotton",236.528681718588,4.63781728859976
"178",2022,"Fruits & Nuts",230.743414101633,4.52438066865948
"179",2022,"Grains & Feed",953.519974732257,18.6964700927894
"180",2022,"Meat & Animal Products",1165.56605718462,22.8542364153847
"181",2022,"Non-commodity crops",1199.05672194385,23.510916116546
"182",2022,"Oilseeds",824.873301441402,16.1739863027726
"183",2022,"Poultry & Eggs",306.959360747734,6.01881099505362
"184",2022,"Vegetables",182.752488129921,3.58338212019452
