"","State","Year","Product","Export_percentage"
"1","Alabama",2000,"Cotton",13.0880868217946
"2","Alabama",2000,"Fruits & Nuts",2.31035404989051
"3","Alabama",2000,"Grains & Feed",3.6687081993851
"4","Alabama",2000,"Meat & Animal Products",20.1383912435336
"5","Alabama",2000,"Non-commodity crops",11.8231751606453
"6","Alabama",2000,"Oilseeds",10.2189976756034
"7","Alabama",2000,"Poultry & Eggs",37.1091256875027
"8","Alabama",2000,"Vegetables",1.64316116164492
"9","Alabama",2001,"Cotton",12.677981036072
"10","Alabama",2001,"Fruits & Nuts",1.85106607985537
"11","Alabama",2001,"Grains & Feed",3.35307150572473
"12","Alabama",2001,"Meat & Animal Products",15.1734134052121
"13","Alabama",2001,"Non-commodity crops",11.3681523087755
"14","Alabama",2001,"Oilseeds",17.4467394616232
"15","Alabama",2001,"Poultry & Eggs",36.8747229871009
"16","Alabama",2001,"Vegetables",1.25485321563615
"17","Alabama",2002,"Cotton",9.22096962736519
"18","Alabama",2002,"Fruits & Nuts",1.7508441267905
"19","Alabama",2002,"Grains & Feed",4.19779303042283
"20","Alabama",2002,"Meat & Animal Products",18.2269204899086
"21","Alabama",2002,"Non-commodity crops",14.7299394292171
"22","Alabama",2002,"Oilseeds",13.8108440802133
"23","Alabama",2002,"Poultry & Eggs",36.7540330558183
"24","Alabama",2002,"Vegetables",1.30865616026417
"25","Alabama",2003,"Cotton",21.4552651014517
"26","Alabama",2003,"Fruits & Nuts",1.36413494882258
"27","Alabama",2003,"Grains & Feed",3.84657276712938
"28","Alabama",2003,"Meat & Animal Products",18.0075450490755
"29","Alabama",2003,"Non-commodity crops",13.445585123378
"30","Alabama",2003,"Oilseeds",11.3798002647849
"31","Alabama",2003,"Poultry & Eggs",29.0516955296587
"32","Alabama",2003,"Vegetables",1.44940121569914
"33","Alabama",2004,"Cotton",18.5505306810768
"34","Alabama",2004,"Fruits & Nuts",0.889390525799687
"35","Alabama",2004,"Grains & Feed",4.75909615274872
"36","Alabama",2004,"Meat & Animal Products",13.914003172577
"37","Alabama",2004,"Non-commodity crops",15.6137675000629
"38","Alabama",2004,"Oilseeds",12.6492376334778
"39","Alabama",2004,"Poultry & Eggs",32.2893121066987
"40","Alabama",2004,"Vegetables",1.33466222755842
"41","Alabama",2005,"Cotton",21.0079567326351
"42","Alabama",2005,"Fruits & Nuts",1.1365168634003
"43","Alabama",2005,"Grains & Feed",3.76021661340766
"44","Alabama",2005,"Meat & Animal Products",13.9837088291136
"45","Alabama",2005,"Non-commodity crops",11.4630946037738
"46","Alabama",2005,"Oilseeds",10.9537174196375
"47","Alabama",2005,"Poultry & Eggs",36.6419708216974
"48","Alabama",2005,"Vegetables",1.05281811633471
"49","Alabama",2006,"Cotton",17.5869289033234
"50","Alabama",2006,"Fruits & Nuts",1.61907835909769
"51","Alabama",2006,"Grains & Feed",3.90729275043914
"52","Alabama",2006,"Meat & Animal Products",16.1091657590113
"53","Alabama",2006,"Non-commodity crops",13.4532200310439
"54","Alabama",2006,"Oilseeds",10.0430243393182
"55","Alabama",2006,"Poultry & Eggs",35.8680524411816
"56","Alabama",2006,"Vegetables",1.4132374165847
"57","Alabama",2007,"Cotton",13.178271198758
"58","Alabama",2007,"Fruits & Nuts",1.44639819141128
"59","Alabama",2007,"Grains & Feed",5.51005213098325
"60","Alabama",2007,"Meat & Animal Products",15.7805030674269
"61","Alabama",2007,"Non-commodity crops",12.626339908196
"62","Alabama",2007,"Oilseeds",9.18702067267373
"63","Alabama",2007,"Poultry & Eggs",41.0577171935032
"64","Alabama",2007,"Vegetables",1.21369763704766
"65","Alabama",2008,"Cotton",9.78934543790849
"66","Alabama",2008,"Fruits & Nuts",1.25988179201434
"67","Alabama",2008,"Grains & Feed",9.60707496304862
"68","Alabama",2008,"Meat & Animal Products",14.1433635644162
"69","Alabama",2008,"Non-commodity crops",11.184149849861
"70","Alabama",2008,"Oilseeds",11.4993724527913
"71","Alabama",2008,"Poultry & Eggs",41.8159264986333
"72","Alabama",2008,"Vegetables",0.700885441326828
"73","Alabama",2009,"Cotton",8.53548931252585
"74","Alabama",2009,"Fruits & Nuts",1.77591911764344
"75","Alabama",2009,"Grains & Feed",7.09441320452186
"76","Alabama",2009,"Meat & Animal Products",11.0938490234514
"77","Alabama",2009,"Non-commodity crops",10.8410934635152
"78","Alabama",2009,"Oilseeds",18.4905978974866
"79","Alabama",2009,"Poultry & Eggs",41.415291155857
