"","Year","Product","Export_mil","Export_percentage"
"1",2000,"Cotton",3870.356,3.51782306083207
"2",2000,"Fruits & Nuts",10184.008,9.2563935188645
"3",2000,"Grains & Feed",26971.568,24.5148518371954
"4",2000,"Meat & Animal Products",19280.55,17.5243733174741
"5",2000,"Non-commodity crops",21622.252,19.6527804451896
"6",2000,"Oilseeds",17398.852,15.814070539662
"7",2000,"Poultry & Eggs",4469.382,4.06228653572637
"8",2000,"Vegetables",6224.37,5.65742074505584
"9",2001,"Cotton",4431.3,3.9461145603016
"10",2001,"Fruits & Nuts",10255.784,9.1328726490439
"11",2001,"Grains & Feed",27372.282,24.3752760022751
"12",2001,"Meat & Animal Products",20223.652,18.0093533770389
"13",2001,"Non-commodity crops",20085.444,17.8862778458968
"14",2001,"Oilseeds",18607.874,16.5704877863511
"15",2001,"Poultry & Eggs",5271.796,4.69458419753566
"16",2001,"Vegetables",6047.138,5.38503358155691
"17",2002,"Cotton",4146.068,3.77648673317194
"18",2002,"Fruits & Nuts",10646.426,9.6974016211738
"19",2002,"Grains & Feed",28451.166,25.9150238110597
"20",2002,"Meat & Animal Products",18821.498,17.1437461940861
"21",2002,"Non-commodity crops",18067.672,16.4571163828722
"22",2002,"Oilseeds",19464.56,17.7294855287056
"23",2002,"Poultry & Eggs",4129.57,3.76145936793725
"24",2002,"Vegetables",6059.418,5.51928036099342
"25",2003,"Cotton",6860.532,5.61434695829677
"26",2003,"Fruits & Nuts",11803.524,9.65946650588948
"27",2003,"Grains & Feed",29875.092,24.4484147729413
"28",2003,"Meat & Animal Products",20402.126,16.6961708000032
"29",2003,"Non-commodity crops",19051.6,15.5909618249265
"30",2003,"Oilseeds",23518.052,19.2461027382811
"31",2003,"Poultry & Eggs",4573.834,3.74301745194897
"32",2003,"Vegetables",6111.678,5.0015189477127
"33",2004,"Cotton",8661.71,6.89258716979685
"34",2004,"Fruits & Nuts",13397.77,10.6613241041191
"35",2004,"Grains & Feed",35137.298,27.9606324127832
"36",2004,"Meat & Animal Products",16258.218,12.9375359819897
"37",2004,"Non-commodity crops",19469.292,15.4927597719421
"38",2004,"Oilseeds",21088.732,16.7814350296286
"39",2004,"Poultry & Eggs",5154.962,4.10207972120867
"40",2004,"Vegetables",6499.054,5.17164580853168
"41",2005,"Cotton",8046.932,6.25026049444848
"42",2005,"Fruits & Nuts",15258.296,11.8515136826559
"43",2005,"Grains & Feed",32584.18,25.3089765140302
"44",2005,"Meat & Animal Products",18810.782,14.6108215658194
"45",2005,"Non-commodity crops",19873.02,15.4358893316589
"46",2005,"Oilseeds",20753.46,16.1197498824542
"47",2005,"Poultry & Eggs",6277.15,4.87562497890219
"48",2005,"Vegetables",7141.726,5.54716355003069
"49",2006,"Cotton",9305.606,6.43297333611144
"50",2006,"Fruits & Nuts",16785.156,11.6035926075605
"51",2006,"Grains & Feed",38029.51,26.2898325821428
"52",2006,"Meat & Animal Products",21996.098,15.2059212406472
"53",2006,"Non-commodity crops",21763.502,15.045127428177
"54",2006,"Oilseeds",23082,15.9566062160943
"55",2006,"Poultry & Eggs",5867.18,4.05598652018647
"56",2006,"Vegetables",7825.768,5.40996006908031
"57",2007,"Cotton",9462.424,5.18351067993646
"58",2007,"Fruits & Nuts",18376.166,10.0664536610582
"59",2007,"Grains & Feed",55355.19,30.323542736503
"60",2007,"Meat & Animal Products",27327.056,14.9697462962156
"61",2007,"Non-commodity crops",23307.8,12.7680000627559
"62",2007,"Oilseeds",31918.324,17.4848403897006
"63",2007,"Poultry & Eggs",8187.714,4.48522524072745
"64",2007,"Vegetables",8613.884,4.71868093310274
"65",2008,"Cotton",9847.572,4.25501308386973
"66",2008,"Fruits & Nuts",20722.062,8.95374463215498
"67",2008,"Grains & Feed",73109.834,31.5898477543037
"68",2008,"Meat & Animal Products",33941.754,14.665808725185
"69",2008,"Non-commodity crops",25308.27,10.935387929137
"70",2008,"Oilseeds",48152.27,20.8059955152425
"71",2008,"Poultry & Eggs",10105.33,4.3663871020005
"72",2008,"Vegetables",10247.496,4.42781525810654
"73",2009,"Cotton",6913.782,3.49497504406011
"74",2009,"Fruits & Nuts",20647.19,10.4373284809917
"75",2009,"Grains & Feed",49902.062,25.2259127257904
"76",2009,"Meat & Animal Products",27889.224,14.0982376763112
"77",2009,"Non-commodity crops",24216.484,12.2416366664267
"78",2009,"Oilseeds",48684.546,24.610448131196
